City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,iskateley,67.6803,53.1512,33.03,100,100,8.99,RU,1699468568
83,namibe,-15.1961,12.1522,66.9,83,1,3.42,AO,1699468569
84,albany,42.6001,-73.9662,41.04,52,93,8.28,US,1699468351
85,callao,-12.0667,-77.15,70.09,73,75,10.36,PE,1699468569
86,isafjordur,66.0755,-23.124,41.04,70,75,28.77,IS,1699468570
87,burang,30.25,81.1667,28.6,74,54,3.27,CN,1699468570
88,buala,-8.145,159.5921,79.41,86,100,7.29,SB,1699468570
89,vilyuchinsk,52.9306,158.4028,26.92,77,8,10.47,RU,1699468570
90,sohbatpur,28.5202,68.5434,76.14,36,6,1.45,PK,1699468571
91,san patricio,28.017,-97.5169,86.18,54,21,15.3,US,1699468571
92,codrington,-38.2667,141.9667,57.27,76,100,6.4,AU,1699468572
93,pontes e lacerda,-15.2261,-59.3353,104.43,22,100,5.53,BR,1699468313
94,egilsstadir,65.2653,-14.3948,37.31,93,100,19.57,IS,1699468572
95,carutapera,-1.195,-46.02,86.36,60,100,11.43,BR,1699468573
96,alo,7.4178,6.7371,83.84,67,62,2.19,NG,1699468573
97,miracema do tocantins,-9.5618,-48.3967,94.73,36,58,4.27,BR,1699468573
98,bethel,41.3712,-73.414,48.02,46,0,12.66,US,1699468573
99,greymouth,-42.4667,171.2,53.13,86,100,3.71,NZ,1699468574
100,east london,-33.0153,27.9116,65.34,82,100,6.91,ZA,1699468574
101,tiksi,71.6872,128.8694,-7.91,98,66,7.99,RU,1699468574
102,margaret river,-33.95,115.0667,59.74,84,100,12.12,AU,1699468335
103,kenai,60.5544,-151.2583,34.14,94,100,9.22,US,1699468575
104,atafu village,-8.5421,-172.5159,84.4,72,100,15.19,TK,1699468575
105,ambon,-3.6954,128.1814,77.14,94,40,3.44,ID,1699468575
106,puerto natales,-51.7236,-72.4875,55.85,44,75,29.93,CL,1699468575
107,polygyros,40.3744,23.4383,59.92,75,92,5.21,GR,1699468576
108,port lincoln,-34.7333,135.8667,57.54,92,10,13.51,AU,1699468576
109,petropavlovsk-kamchatsky,53.0452,158.6483,25.45,73,0,21.0,RU,1699468576
110,kone,-21.0595,164.8658,67.82,75,26,4.72,NC,1699468577
111,antonio enes,-16.2325,39.9086,80.87,72,6,12.03,MZ,1699468577
112,port blair,11.6667,92.75,78.84,94,20,2.3,IN,1699468577
113,apolinario saravia,-24.4328,-63.9954,93.76,33,7,12.66,AR,1699468577
114,menongue,-14.6585,17.691,65.84,85,20,8.05,AO,1699468578
115,tuy hoa,13.0833,109.3,76.89,91,100,2.51,VN,1699468578
116,daru,-9.0763,143.2092,76.62,82,96,12.06,PG,1699468579
117,west island,-12.1568,96.8225,78.78,83,75,11.5,CC,1699468579
118,wailua homesteads,22.0669,-159.378,77.79,87,75,10.36,US,1699468579
119,ust'-kut,56.7938,105.7672,12.38,94,98,3.67,RU,1699468580
120,alice springs,-23.7,133.8833,81.95,26,100,10.36,AU,1699468580
121,dunedin,-45.8742,170.5036,50.81,71,90,11.99,NZ,1699468069
122,boende,-0.2167,20.8667,76.6,86,29,3.02,CD,1699468581
123,lata,40.1629,-8.3327,58.08,96,100,9.55,PT,1699468581
124,bel ombre,-4.6167,55.4167,80.44,83,20,3.44,SC,1699468581
125,remire-montjoly,4.9167,-52.2667,89.64,66,20,13.8,GF,1699468581
126,kyaikto,17.3,97.0167,78.33,84,29,1.72,MM,1699468581
127,olonkinbyen,70.9221,-8.7187,31.78,82,55,10.94,SJ,1699468582
128,chebba,35.2372,11.115,66.83,59,4,19.42,TN,1699468582
129,yarmouth,41.7057,-70.2286,46.87,54,0,18.01,US,1699468582
130,weno,7.4515,151.8468,82.35,83,75,8.05,FM,1699468582
131,chonchi,-42.6128,-73.8092,54.61,61,90,0.87,CL,1699468583
132,bardai,11.65,7.2333,77.72,19,10,6.08,NG,1699468583
133,ghorawal,24.7667,82.7833,68.18,44,0,4.16,IN,1699468583
134,touros,-5.1989,-35.4608,82.42,67,33,18.32,BR,1699468583
135,pacific grove,36.6177,-121.9166,67.39,59,0,7.0,US,1699468584
136,grootfontein,-19.5667,18.1167,85.57,23,20,3.44,NA,1699468584
137,port mathurin,-19.6833,63.4167,78.89,78,75,6.91,MU,1699468584
138,stanley,54.868,-1.6985,42.82,82,20,10.36,GB,1699468437
139,heunghae,36.1125,129.3522,51.98,82,80,4.36,KR,1699468586
140,nema,57.5067,50.5011,40.15,95,85,6.15,RU,1699468586
141,rakvere,59.3464,26.3558,38.97,92,92,3.38,EE,1699468586
142,zaltan,32.947,11.8665,70.12,74,100,18.16,LY,1699468587
143,bredasdorp,-34.5322,20.0403,57.09,68,0,4.05,ZA,1699468587
144,keflavik,64.0049,-22.5624,42.71,75,0,10.36,IS,1699468588
145,uromi,6.7,6.3333,74.75,87,100,4.63,NG,1699468588
146,utrik,11.2278,169.8474,81.7,81,98,24.56,MH,1699468588
147,kapa'a,22.0752,-159.319,79.12,87,75,10.36,US,1699468588
148,fort bragg,35.139,-79.006,81.82,44,0,3.44,US,1699468589
149,novodvinsk,64.4165,40.8122,32.79,99,100,8.63,RU,1699468589
150,port hedland,-20.3167,118.5667,78.85,89,0,3.44,AU,1699468589
151,st. paul,44.9444,-93.0933,49.46,78,0,4.61,US,1699468484
152,sitka,57.0531,-135.33,51.69,66,100,17.27,US,1699468590
153,mata-utu,-13.2816,-176.1745,81.41,84,98,10.27,WF,1699468590
154,la ronge,55.1001,-105.2842,34.05,86,100,4.61,CA,1699468590
155,afua,-0.1567,-50.3867,91.72,45,100,9.35,BR,1699468590
156,magadan,59.5667,150.8,-0.45,80,10,9.1,RU,1699468319
157,zhongxing,33.7039,118.6792,58.3,58,100,2.42,CN,1699468591
158,fale old settlement,-9.3852,-171.2468,84.16,69,100,15.05,TK,1699468591
159,dickinson,29.4608,-95.0513,85.14,66,40,12.66,US,1699468591
160,kuanda,56.3161,116.0806,10.08,78,96,3.6,RU,1699468337
161,yaren,-0.5472,166.916,84.43,81,100,16.98,NR,1699468591
162,beyneu,45.3167,55.2,48.18,84,6,10.85,KZ,1699468592
163,tindouf,27.6711,-8.1474,79.25,18,0,13.8,DZ,1699468592
164,porto novo,6.4965,2.6036,82.22,82,95,7.27,BJ,1699468592
165,alaghsas,17.0187,8.0168,85.89,10,0,11.5,NE,1699468592
166,lagoa,39.05,-27.9833,64.51,86,100,17.11,PT,1699468593
167,phan thiet,10.9333,108.1,78.12,89,100,6.4,VN,1699468593
168,badger,64.8,-147.5333,19.31,91,75,4.61,US,1699468593
169,hithadhoo,-0.6,73.0833,81.1,81,15,11.54,MV,1699468593
170,wegrow,52.3995,22.0163,45.37,81,98,10.51,PL,1699468594
171,bandarbeyla,9.4942,50.8122,79.66,78,100,12.88,SO,1699468486
172,port saint john's,-31.6229,29.5448,65.91,82,97,3.69,ZA,1699468594
173,santana,-0.0583,-51.1817,96.98,41,40,9.22,BR,1699468370
174,isla mujeres,21.2311,-86.731,84.25,62,99,8.7,MX,1699468595
175,tetyushi,54.9382,48.8366,41.67,91,20,9.31,RU,1699468595
176,tweed heads,-28.1817,153.547,62.19,87,3,3.44,AU,1699468383
